"NMDS1","NMDS2","species","pval","r2"
-0.874631509532868,-0.197009461218834,"BARE",0.001,0.803793005277479
0.0753246803877745,-0.197943857536186,"CYANOB",0.001,0.0448555782118265
0.134083335774626,-0.244622864783548,"ACCI",0.001,0.0778186869073609
-0.037375891414895,0.176853093095449,"AHNF",0.001,0.0326739737964854
-0.450407030499601,0.0112895762503692,"BEM",0.001,0.202993947655381
0.176125077393273,0.30793069897381,"BTA",0.001,0.125841358257286
0.262561853020118,-0.0555775157272662,"CAUG",0.001,0.0720275869157724
-0.0408786556169011,-0.209752227117256,"CCA",0.001,0.0456670612656943
0.0927761185726452,-0.0809950904700462,"ChSpp",0.02,0.0151676128576565
0.728866569603475,0.123329899173474,"Cldph",0.001,0.546456740315677
0.272793821126029,-0.0826547950947881,"CLRPA_spp",0.001,0.0812482839967013
0.0227906744532704,0.131069429555514,"CodErc",0.008,0.0176986102060429
0.202138509120468,-0.272100155683802,"Ctax",0.001,0.114898471592595
0.109950454601979,0.0128805998531672,"Dictyota",0.034,0.0122550123197593
0.119244166796628,-0.00112953745256114,"GFA",0.011,0.0142204471698788
0.199355838900621,0.194137947226395,"Jania",0.001,0.0774322930570487
0.53147991711011,-0.508001001484508,"Limu",0.001,0.540535919800633
0.101190733639991,-0.3030166119521,"Lobophora",0.001,0.102058631693529
0.0967723388164558,0.0349228047999846,"PLOC",0.039,0.0105844878551047
0.0106126717275092,0.11884293588138,"Sargassum",0.025,0.0142362722101018
0.0330347307815131,0.214555031690473,"Scyto",0.001,0.047125155061507
0.0794219128782651,0.602291057622409,"Turf",0.001,0.369062358337163
0.20228849751543,-0.309115147289487,"Ulva",0.001,0.136472810510851
